Replies_subject,relation,Replies_object
User441,save,color
User441,save color as,STL files
part,is with,depression for lettering
main part group,outside text is,group
print,printing,temp
print,sticks harder to,PEI
User442,have,problems
your Z end,stop,counter clockwise
quarter,turn,lessen
first layer,squish,bit
test prints,stop settings at,different Z
test prints,stop,settings
User442,run,test prints
Answer443,do really appreciate,time
piercet,Thanks for,lengthy reply
Fri Nov 03 2017 2:21,am,Ok
lulzbot profiles,are designed for,brand new printer users
lulzbot profiles,are,designed
first layer overextrusion,extrude,something
Answer443,As soon noticed,elephant foot
Answer443,had hoped to,prototype with technology
sides,rotated,180 degrees
Answer443,Once solved,nozzle size issue
Answer443,quickly noticed elephant foot after,my next attempted print
Answer443,discovered,first layer flow rate factory setting of 110 %
issue,see below,image
Answer443,try,adjust as above
Answer443,tried anywhere from,90 % first layer flow rate
Z-index offsets,point,is
Z-index offsets,point to,all
Answer443,mention,that in my first post
Uneven bed washer spacers,can also sometimes do,2
User443,can get,extrusions right left
bearing rods,are,unsupported
than middle,is in,Z axis
rails,are thicker than,than 5
X axis load,is,point source load
extrusions,to printer is,etc.
my understanding,is In,relation to point 1
flex,push bed up,up washers
4 washers,are of,same thickness
Answer443,will do at_time,evening
rest,is,seemingly irrelevant
left/right issue,is,compounded
layer issue,is,diagonal
your idler tension bolts,Are,tight enough
print,potentially grinding,powder
squares,printed,later thinner
print,potentially grinding powder into,hobbed bolt
User443,bore,lock
your fillament diameter,is,set properly
your fillament diameter,is set properly in,cura
User443,Are using,too much
Answer443,thus eliminating,thought
Extruder e-steps,been,have properly calibrated
Answer443,have also tried,various filament manufacturers
Answer443,eliminate,bad filament from equation
Calibration cubes,are,start
cubes,are,good
Answer443,have calibrated,fraction of mm on machine
Answer443,am,confident
Fri Nov 03 2017 2:21,am,printer
Fri Nov 03 2017 2:21,am printer out of,box
User443,will encounter,similar issues
washer assembly,measure,distance
plate,see,it differs
washer assembly,measure distance from,top of washer to bed
Answer443,'d take,look
middle one,should,should slightly thicker
slicers,can,can coaxed
bolts,loosening,Z motor
re,adjusting,leadscrew couplings
User444,can also try,re
upper leadscrew,mount,bearings
top picture,also shows,signs
your filament diameter,make,sure
User445,are at,actually 2.67 mm
User445,tell,me
Answer445,believe,be wobble
Answer445,believe,it
lighter color,more rounded,one
wobble,stops,midway
part,seeing,offset matches exactly
User445,holding part up against,lead Screw
User445,holding up,part
your offset setting,is in,cura
Your adhesion issue,us,your setting needs adjusted closer
User446,are showing,less wall voids
Some,is,factory
User446,are,way
closest,is,direction
User446,need,adjust
Whichever one,is closest to,diameter
User446,were trying to,print
Whichever one,is,closest
User446,are looking at,inconsistant extrusion leading
Answer446,'m looking at,it
User446,check,settings calibration objects
mark,Does end up,exactly 10 mm from top of extruder
your e-steps,are off,not
Run overhang tests,bridging,tests
good line,is with,melting
Answer447,am,interested
Answer447,getting,one
TAZ6,is with,standard extruder
anyone,even offer,suggestion
anyone,be,able
User447,layers on,on your material
Answer447,clone,settings
Answer447,clone settings in,simplify 3D
Answer448,'d try,me
User448,have,bed heater completely cold
User449,'re going,want
L,is version after,version K
User450,Piercet for,clarification
heat sink,installed,IC U17
Answer450,keep,my warranty
Answer450,would like,keep
That,has,electrical
nozzle,is,electrically isolated
nozzle,is electrically isolated from,heater block
User451,tracing wire from,block to harness plug
User451,using,multimeter
User451,using multimeter,check for conductivity
User451,tracing,wire
pausing,is way,go
User452,go to,Plugins tab
height,is in,that
User452,change to,expert settings
User452,install,it
issue,is with,alignment of carriages on z axis
User453,push at,back
nothing,is,square
telltale sign,was pulling xrods out of,left side plastic holder
telltale sign,was pulling,xrods
Answer453,tightened back down,bolts
Answer453,have pulled diagonally,frame
Answer453,pushed leadnut over,over plastic
Answer453,pushed,leadnut
User453,removing,4 bolts on aluminum bracket
holes,is in,wrong place
User453,tension on,x belt
User453,play with,set screws on xshafts
left/right carriages,sure are level without,one higher than other normal calibration step
left/right carriages,are,sure level
User453,slot,aluminum
That,was,good
Answer453,looking again at,it
there must issue,is with,hole perpendicularity thru xbearing block/x motor block
Answer453,'ll give,that
Anyone,else having,issue
processor,is in,Rambo board
User454,need,remember
Answer454,have seen there,Arduino based MD5 libraries
voltage,So reads,about .75 V.
print,is,cancelled
User455,have,restart
Thu Oct 05 2017 4:37,am,myself
Answer456,have,needed number/s
Thu Oct 05 2017 4:37,place sticker Steps with,E
Thu Oct 05 2017 4:37,place,sticker
single extruder,is in,Cura Machine Settings
User456,have physically changed,extruder
re-flash,probably overwrites,old value
Answer456,do still have,cal sheet
Answer456,will install,dual
Answer456,am,ready
proper FW,is,loaded
Answer456,take,jump
jump,try already,it
RH side,was,almost 3 mm higher than LH side
side,was,higher
RH Z Axis,lower,RH Z axis nut
Several shots,are within,now .02 mm
Noise,is,gone
filament,higher up,up extruder body
heat,creeps up filament In,other words
pressure,being,pushed
hobbed bolt,cuts,mouse bite
some,will,will much more prone to this than others
filaments,conduct,head
Hot end design,plays,big role
print speeds,are,Coupled with this
printing,slow for,given temperature
Answer458,have,spot
User458,starting from,printer
User458,have,nozzle
User458,have nozzle,you are getting
your print,starts,OK
Answer458,FWIW struggled with,printing PLA with my TAZ 5
Answer458,had,creep bad
Answer458,replaced end fan with,larger one
Answer458,found,filament oiler on thingiverse
Answer458,used,olive oil
Answer458,swapped end In,end
User459,should have,distance
User459,have,one
Answer459,corrected,mine
Z,offset from,factory default
Answer460,tested,extrusion
User461,know like,infill
Answer461,was also wondering On,side note
Nevermind,has back,them
Answer462,'m,so good
https://reprage.com/post/46062359808/qu 3d-printer,adjust,values
Greetings,Check out,article
axis Z,out of height is,your
User464,take,picture
rest,be,adjusted
Z,is,Once fixed
rest,tensioning,belts
rest,tensioning belts on,axis
knocking sound,is,probably filament
User465,want,8 mm
User465,have,setting incorrect
User465,are under,warranty
User465,call,support
Answer466,printing happily for,months now
Clean bed,is with,alcohol
pva glue stick,is in,area
User466,lower,your zoffset
initial layer thickness initial layer line width 1st layer speed,Try,reprint
User467,manually turn,side lead screw
its motor coupler,failed In,case
bearings,debris inside,leadscrew nut
left side cone,is loosend from,two y-axis rods
left side cone,is,loosend
top plate,lead screw in,place
top plate,holds screw off,that
lead screw,become,harder
lead screw,begins,become
12v fans,work,exactly expected
Answer468,keep,thing
Answer468,keep thing from,melting nearby wires
User468,Are using,3 watt diodes
he,used,2
sounds,is out of,alligntment
measure bearing,ends on,sides
measure,bearing up,up bottom of x axis
side,is higher than,other
side,is,higher
1013,has paved,way for auto bed leveling
1013,has paved way,thanks 1013
Our bounding box,is,590x508x505
our width,is,So now 685 mm
filament spool,is for,measurements
printer,has,footprint
's,offset,back by 30 mm on side
Answer470,had idea as,user
slot cut,is in,top of our enclosure
filament,attach to,frame of TAZ
User470,can position,front
spool,have,axis
User470,could print,supports
Answer470,think at_time,6828 times
your garage temp,already melting filament on,spool
temp,be,few
User470,print in,your garage
your garage temp,could,could degrees
you summer,is in,Arizona
filament,be,chilly
your garage temp,already melting,filament
User470,print in,winter
your filament,sit down in,coolest part
your filament,sits up since,heat rises
hot draft,Will cause,same
heat,draft-free oven like,environment
User470,are,exhausting air
User470,have,webcam recording
problem,is with,lights turning on for heat
Answer470,would probably use,35W heating rods
User470,Think,indoor gas fireplace
air,vent back outside,it
User470,bring air in,in outside
benfarmer,has,pictures
things,went,wrong
windows,cut,wood
Answer470,do,window openings
windows,cut,glass
wood,is,free materials
that,is,different
enclosure,Also does even need,base
User470,set over,cake
User470,set over,pie
Three 3 sheets,mm in,thickness
each,attached with,printed corner braces
User470,Now have,access to electronics
User470,pulling,machine
More access area,had,one door
User470,see,3 x 6 sheet
Plexiglas cut,is in,half
Answer470,find,size sheets
Answer470,write out,thought process
? Fri Aug 25 2017 11:59,am Had,similar thing happen with my Mini
Answer471,move,it
? Tue Aug 22 2017 7:45,am,3D printer has completed for while
use,can,can printed normally
bearings,oil after,same problem
bearings,oil on,shaft
firmware,is with,normal use of same
Answer472,asked,my friend
User472,can contact,him
Answer473,would try,old single extruder
User473,still have,it
Answer473,flash back to,setup
Answer473,something about,firmware
temperature,is,about 15 degrees under set temp
first nozzle,is,set
lets,try,hotend options
User474,suggest,replacement board comes
Answer474,will definitely try,SD card extender
Answer474,can greatly reduce,times
Answer474,used,Taz
cars,have now,wifi
SD cards,are,year
others,avoid,same issue
Answer475,does,turn on on control board
two,fuses in,panel
two,fuses under,power cord plug
User475,see up,switch light
User475,flip,it
switch,needs,both of those working
other two fuses,are,bed heater
Answer476,switched to,chisel
